hours_worked,num_clients,skill_level,rating,earnings
15,1,3.5,3.2,320.75
20,2,4.0,3.7,498.50
25,2,5.5,4.1,687.25
30,3,6.0,4.3,945.60
35,3,7.0,4.5,1234.80
40,4,7.5,4.6,1456.25
42,5,8.0,4.7,1689.30
45,5,8.5,4.8,1875.45
50,6,9.0,4.9,2150.75
55,7,9.5,5.0,2567.80
18,1,2.5,3.5,345.20
22,2,3.0,3.8,512.40
28,2,4.5,4.0,723.60
32,3,5.0,4.2,987.30
38,4,6.5,4.4,1345.90
44,5,7.8,4.6,1720.45
48,6,8.2,4.7,1950.35
52,7,8.8,4.8,2230.60
58,8,9.2,4.9,2645.75
60,9,9.8,5.0,2890.40
12,1,2.0,3.0,245.80
24,2,4.0,3.5,567.90
36,3,6.0,4.0,1098.70
48,4,8.0,4.5,1876.50
60,5,10.0,5.0,2987.30
10,1,3.0,3.5,198.40
30,3,5.5,4.0,876.30
50,5,8.0,4.5,2045.60
15,2,4.0,3.7,356.40
25,3,5.0,4.0,678.90
35,4,6.0,4.3,1123.45
45,5,7.0,4.6,1678.90
55,6,8.0,4.9,2345.60
20,2,6.0,3.8,498.70
40,4,8.0,4.4,1456.80